[2025-04-15 11:33:15] User: alice, Action: SIGN, Details: Signed file users/alice/public_key_alice.pem for alice
[2025-04-15 11:33:15] User: alice, Action: KEY, Details: Published signed public key for alice
[2025-04-15 11:33:40] User: alice, Action: SIGN, Details: Signed file /Users/milanaivankovic/Downloads/proizvodi.csv for alice
[2025-04-15 11:33:40] User: alice, Action: UPLOAD, Details: Uploaded file: proizvodi.csv
[2025-04-15 11:33:52] User: bob, Action: SIGN, Details: Signed file users/bob/public_key_bob.pem for bob
[2025-04-15 11:33:52] User: bob, Action: KEY, Details: Published signed public key for bob
[2025-04-15 11:34:42] User: bob, Action: SIGN, Details: Signed file /Users/milanaivankovic/Documents/java_pismeni2/pj2_28062024/batter_vehicle.txt for bob
[2025-04-15 11:34:42] User: bob, Action: UPLOAD, Details: Uploaded file: batter_vehicle.txt
[2025-04-15 11:34:51] User: bob, Action: KEY, Details: Verified existing signed public key for bob
[2025-04-15 11:34:51] User: bob, Action: SIGN, Details: Signed file users/bob/batter_vehicle.txt.shared.enc for bob
[2025-04-15 11:34:51] User: bob, Action: SHARE, Details: Shared file: batter_vehicle.txt with alice
[2025-04-15 11:35:24] User: alice, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-15 11:35:24] User: alice, Action: KEY, Details: Verified existing signed public key for alice
[2025-04-15 11:35:31] User: alice, Action: ERROR, Details: Sender's public key not found at users/public_keys/public_key_vehicle.txt.pem
[2025-04-15 11:43:44] User: milica, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-15 11:43:44] User: milica, Action: KEY, Details: Verified existing signed public key for milica
[2025-04-15 11:43:47] User: milica, Action: DEBUG, Details: Parsed file PJ2 2023-04-26.docx_luka_to_milica.enc: sender=luka, recipient=milica.enc
[2025-04-15 11:45:05] User: bob, Action: SIGN, Details: Signed file users/bob/public_key_bob.pem for bob
[2025-04-15 11:45:05] User: bob, Action: KEY, Details: Published signed public key for bob
[2025-04-15 11:45:30] User: bob, Action: SIGN, Details: Signed file /Users/milanaivankovic/Documents/java_pismeni2/pj2_28062024/batter_vehicle.txt for bob
[2025-04-15 11:45:30] User: bob, Action: UPLOAD, Details: Uploaded file: batter_vehicle.txt
[2025-04-15 11:45:58] User: alice, Action: SIGN, Details: Signed file users/alice/public_key_alice.pem for alice
[2025-04-15 11:45:58] User: alice, Action: KEY, Details: Published signed public key for alice
[2025-04-15 11:46:20] User: alice, Action: SIGN, Details: Signed file /Users/milanaivankovic/Downloads/Milana_Ivankovic /Izvjestaj.pdf for alice
[2025-04-15 11:46:20] User: alice, Action: UPLOAD, Details: Uploaded file: Izvjestaj.pdf
[2025-04-15 11:46:30] User: alice, Action: KEY, Details: Verified existing signed public key for alice
[2025-04-15 11:46:30] User: alice, Action: SIGN, Details: Signed file users/alice/Izvjestaj.pdf.shared.enc for alice
[2025-04-15 11:46:30] User: alice, Action: SHARE, Details: Shared file: Izvjestaj.pdf with bob
[2025-04-15 11:47:00] User: bob, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-15 11:47:00] User: bob, Action: KEY, Details: Verified existing signed public key for bob
[2025-04-15 11:47:41] User: bob, Action: ERROR, Details: User bob is not the intended recipient of batter_vehicle.txt_bob_to_alice.enc
[2025-04-15 11:47:46] User: bob, Action: DELETE, Details: Deleted: batter_vehicle.txt_bob_to_alice.enc
[2025-04-15 11:47:57] User: bob, Action: DEBUG, Details: Parsed file Izvjestaj_pdf_alice_to_bob.enc: sender=alice, recipient=bob.enc
[2025-04-15 11:48:03] User: bob, Action: DOWNLOAD, Details: Downloaded file: Izvjestaj_pdf_alice_to_bob.enc
[2025-04-15 11:48:20] User: bob, Action: KEY, Details: Verified existing signed public key for bob
[2025-04-15 11:48:20] User: bob, Action: SIGN, Details: Signed file users/bob/batter_vehicle.txt.shared.enc for bob
[2025-04-15 11:48:20] User: bob, Action: SHARE, Details: Shared file: batter_vehicle.txt with alice
[2025-04-15 11:48:54] User: alice, Action: LOGIN_ATTEMPT, Details: SUCCESS
[2025-04-15 11:48:54] User: alice, Action: KEY, Details: Verified existing signed public key for alice
[2025-04-15 11:49:04] User: alice, Action: DEBUG, Details: Parsed file batter_vehicle_txt_bob_to_alice.enc: sender=bob, recipient=alice.enc
[2025-04-15 11:49:10] User: alice, Action: DOWNLOAD, Details: Downloaded file: batter_vehicle_txt_bob_to_alice.enc
